,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
11319,11488,11488,"Electric Generation By Wood, GWh Line Graph: Beginning 2001","['New', 'York', 'Electric', 'Generation', 'By', 'Fuel', 'Type', 'GWh', 'dataset', 'provides', 'data', 'on', 'total', 'in', 'state', 'generation', 'for', 'New', 'York', 'State', 'Sources', 'of', 'electricity', 'include', 'coal', 'natural', 'gas', 'petroleum', 'products', 'hydro', 'nuclear', 'waste', 'landfill', 'gas', 'wood', 'wind', 'and', 'net', 'imports', 'of', 'electricity']",New York State Energy Research and Development Authority,"['total', 'lfg', 'wood', 'wind', 'year', 'coal', 'natural_gas', 'petroleum', 'conv_hydro', 'ps_hydro', 'nuclear', 'net_imports', 'other', 'waste']","['Total  ', 'LFG  ', 'Wood  ', 'Wind  ', 'Year', 'Coal  ', 'Natural Gas  ', 'Petroleum  ', 'Conv. Hydro  ', 'PS Hydro  ', 'Nuclear  ', 'Net Imports  ', 'Other  ', 'Waste  ']",chart,"['environment', 'infrastructure']",Energy & Environment,"['electric generation', 'electricity', 'electricity sales', 'renewable']",official,55.0,16.0,2.0,2863.0,11.4838157773,data.ny.gov,"['electric', 'generation', 'electricity', 'electricity', 'sales', 'renewable', 'environment', 'infrastructure', 'energy', '&', 'environment']","['electric', 'generation', 'electricity', 'electricity', 'sales', 'renewable', 'environment', 'infrastructure', 'energy', '&', 'environment', 'New', 'York', 'Electric', 'Generation', 'By', 'Fuel', 'Type', 'GWh', 'dataset', 'provides', 'data', 'on', 'total', 'in', 'state', 'generation', 'for', 'New', 'York', 'State', 'Sources', 'of', 'electricity', 'include', 'coal', 'natural', 'gas', 'petroleum', 'products', 'hydro', 'nuclear', 'waste', 'landfill', 'gas', 'wood', 'wind', 'and', 'net', 'imports', 'of', 'electricity']","[(0, 0.025881538303794045), (11, 0.22652177710376176), (12, 0.023703041144901623), (13, 0.21901700438743477), (17, 0.024534335101457694), (25, 0.025582160298648102), (27, 0.061783202359295013), (28, 0.025643798574338912), (31, 0.040612419627277456), (35, 0.08561508311942953), (42, 0.047749404766295488), (43, 0.15064268368797762), (51, 0.025271691060272296)]","[(11, 0.22652177710376176), (13, 0.21901700438743477), (43, 0.15064268368797762), (35, 0.08561508311942953), (27, 0.06178320235929501), (42, 0.04774940476629549), (31, 0.040612419627277456), (0, 0.025881538303794045), (28, 0.025643798574338912), (25, 0.025582160298648102), (51, 0.025271691060272296), (17, 0.024534335101457694), (12, 0.023703041144901623)]",11
11321,11490,11490,"Electric Generation By Natural Gas, GWh Line Graph: Beginning 1980","['New', 'York', 'Electric', 'Generation', 'By', 'Fuel', 'Type', 'GWh', 'dataset', 'provides', 'data', 'on', 'total', 'in', 'state', 'generation', 'for', 'New', 'York', 'State', 'Sources', 'of', 'electricity', 'include', 'coal', 'natural', 'gas', 'petroleum', 'products', 'hydro', 'nuclear', 'waste', 'landfill', 'gas', 'wood', 'wind', 'and', 'net', 'imports', 'of', 'electricity']",New York State Energy Research and Development Authority,"['year', 'ps_hydro', 'coal', 'conv_hydro', 'natural_gas', 'petroleum', 'total', 'wood', 'lfg', 'waste', 'other', 'net_imports', 'wind', 'nuclear']","['Year', 'PS Hydro  ', 'Coal  ', 'Conv. Hydro  ', 'Natural Gas  ', 'Petroleum  ', 'Total  ', 'Wood  ', 'LFG  ', 'Waste  ', 'Other  ', 'Net Imports  ', 'Wind  ', 'Nuclear  ']",chart,"['environment', 'infrastructure']",Energy & Environment,"['electric generation', 'electricity', 'electricity sales', 'renewable']",official,40.0,11.0,3.0,2849.0,11.4767462039,data.ny.gov,"['electric', 'generation', 'electricity', 'electricity', 'sales', 'renewable', 'environment', 'infrastructure', 'energy', '&', 'environment']","['electric', 'generation', 'electricity', 'electricity', 'sales', 'renewable', 'environment', 'infrastructure', 'energy', '&', 'environment', 'New', 'York', 'Electric', 'Generation', 'By', 'Fuel', 'Type', 'GWh', 'dataset', 'provides', 'data', 'on', 'total', 'in', 'state', 'generation', 'for', 'New', 'York', 'State', 'Sources', 'of', 'electricity', 'include', 'coal', 'natural', 'gas', 'petroleum', 'products', 'hydro', 'nuclear', 'waste', 'landfill', 'gas', 'wood', 'wind', 'and', 'net', 'imports', 'of', 'electricity']","[(0, 0.025882082524651153), (11, 0.22651003205965703), (12, 0.02370304114490162), (13, 0.21899050313443572), (17, 0.024534419697764227), (25, 0.025582282086482597), (27, 0.061766777917917792), (28, 0.025644395151266625), (31, 0.040513570944213304), (35, 0.085733341956433215), (42, 0.047788909071777255), (43, 0.15063773262825378), (51, 0.025271051217129911)]","[(11, 0.22651003205965703), (13, 0.21899050313443572), (43, 0.15063773262825378), (35, 0.08573334195643321), (27, 0.06176677791791779), (42, 0.047788909071777255), (31, 0.040513570944213304), (0, 0.025882082524651153), (28, 0.025644395151266625), (25, 0.025582282086482597), (51, 0.02527105121712991), (17, 0.024534419697764227), (12, 0.02370304114490162)]",11
11333,11502,11502,"Electric Generation By Pumped Storage Hydro, GWh Line Graph: Beginning 1993","['New', 'York', 'Electric', 'Generation', 'By', 'Fuel', 'Type', 'GWh', 'dataset', 'provides', 'data', 'on', 'total', 'in', 'state', 'generation', 'for', 'New', 'York', 'State', 'Sources', 'of', 'electricity', 'include', 'coal', 'natural', 'gas', 'petroleum', 'products', 'hydro', 'nuclear', 'waste', 'landfill', 'gas', 'wood', 'wind', 'and', 'net', 'imports', 'of', 'electricity']",New York State Energy Research and Development Authority,"['coal', 'natural_gas', 'petroleum', 'conv_hydro', 'ps_hydro', 'nuclear', 'net_imports', 'other', 'waste', 'lfg', 'wood', 'wind', 'total', 'year']","['Coal  ', 'Natural Gas  ', 'Petroleum  ', 'Conv. Hydro  ', 'PS Hydro  ', 'Nuclear  ', 'Net Imports  ', 'Other  ', 'Waste  ', 'LFG  ', 'Wood  ', 'Wind  ', 'Total  ', 'Year']",chart,"['environment', 'infrastructure']",Energy & Environment,"['electric generation', 'electricity', 'electricity sales', 'renewable']",official,64.0,1.0,0.0,2822.0,11.4630134134,data.ny.gov,"['electric', 'generation', 'electricity', 'electricity', 'sales', 'renewable', 'environment', 'infrastructure', 'energy', '&', 'environment']","['electric', 'generation', 'electricity', 'electricity', 'sales', 'renewable', 'environment', 'infrastructure', 'energy', '&', 'environment', 'New', 'York', 'Electric', 'Generation', 'By', 'Fuel', 'Type', 'GWh', 'dataset', 'provides', 'data', 'on', 'total', 'in', 'state', 'generation', 'for', 'New', 'York', 'State', 'Sources', 'of', 'electricity', 'include', 'coal', 'natural', 'gas', 'petroleum', 'products', 'hydro', 'nuclear', 'waste', 'landfill', 'gas', 'wood', 'wind', 'and', 'net', 'imports', 'of', 'electricity']","[(0, 0.025881695906297176), (11, 0.22652030530148601), (12, 0.023703041144901616), (13, 0.21900881220195603), (17, 0.024534369831864994), (25, 0.025582388841158779), (27, 0.061784201318892527), (28, 0.025643807941697051), (31, 0.040595577820748067), (35, 0.085636009074960828), (42, 0.047755995943130153), (43, 0.15064022959665163), (51, 0.025271704611139187)]","[(11, 0.226520305301486), (13, 0.21900881220195603), (43, 0.15064022959665163), (35, 0.08563600907496083), (27, 0.06178420131889253), (42, 0.04775599594313015), (31, 0.04059557782074807), (0, 0.025881695906297176), (28, 0.02564380794169705), (25, 0.02558238884115878), (51, 0.025271704611139187), (17, 0.024534369831864994), (12, 0.023703041144901616)]",11
6761,6930,6930,Sustainable Projects Map,"['Locations', 'where', 'City', 'facilities', 'or', 'projects', 'include', 'sustainable', 'elements']",,"['project_measure', 'location', 'facility']","['PROJECT/MEASURE', 'LOCATION', 'FACILITY']",map,[],Sustainability,[],official,206.0,95.0,15.0,2798.0,11.4506957716,data.kcmo.org,['sustainability'],"['sustainability', 'Locations', 'where', 'City', 'facilities', 'or', 'projects', 'include', 'sustainable', 'elements']","[(4, 0.23608335219216253), (5, 0.11324786324786308), (11, 0.43485681874800741), (34, 0.11324786324786311)]","[(11, 0.4348568187480074), (4, 0.23608335219216253), (34, 0.11324786324786311), (5, 0.11324786324786308)]",11
11339,11508,11508,"Electric Generation By Waste, GWh Line Graph: Beginning 2001","['New', 'York', 'Electric', 'Generation', 'By', 'Fuel', 'Type', 'GWh', 'dataset', 'provides', 'data', 'on', 'total', 'in', 'state', 'generation', 'for', 'New', 'York', 'State', 'Sources', 'of', 'electricity', 'include', 'coal', 'natural', 'gas', 'petroleum', 'products', 'hydro', 'nuclear', 'waste', 'landfill', 'gas', 'wood', 'wind', 'and', 'net', 'imports', 'of', 'electricity']",New York State Energy Research and Development Authority,"['coal', 'year', 'waste', 'other', 'net_imports', 'nuclear', 'ps_hydro', 'lfg', 'conv_hydro', 'petroleum', 'natural_gas', 'wood', 'wind', 'total']","['Coal  ', 'Year', 'Waste  ', 'Other  ', 'Net Imports  ', 'Nuclear  ', 'PS Hydro  ', 'LFG  ', 'Conv. Hydro  ', 'Petroleum  ', 'Natural Gas  ', 'Wood  ', 'Wind  ', 'Total  ']",chart,"['environment', 'infrastructure']",Energy & Environment,"['electric generation', 'electricity', 'electricity sales', 'renewable']",official,54.0,0.0,0.0,2797.0,11.4501802472,data.ny.gov,"['electric', 'generation', 'electricity', 'electricity', 'sales', 'renewable', 'environment', 'infrastructure', 'energy', '&', 'environment']","['electric', 'generation', 'electricity', 'electricity', 'sales', 'renewable', 'environment', 'infrastructure', 'energy', '&', 'environment', 'New', 'York', 'Electric', 'Generation', 'By', 'Fuel', 'Type', 'GWh', 'dataset', 'provides', 'data', 'on', 'total', 'in', 'state', 'generation', 'for', 'New', 'York', 'State', 'Sources', 'of', 'electricity', 'include', 'coal', 'natural', 'gas', 'petroleum', 'products', 'hydro', 'nuclear', 'waste', 'landfill', 'gas', 'wood', 'wind', 'and', 'net', 'imports', 'of', 'electricity']","[(0, 0.025881915047180185), (11, 0.2265084990974261), (12, 0.023703041144901623), (13, 0.21899799617333213), (17, 0.024534451181784368), (25, 0.025582322387661095), (27, 0.061776523781159595), (28, 0.025644120191006224), (31, 0.040539766779469862), (35, 0.085704992228206767), (42, 0.047776815588479064), (43, 0.15063654354979722), (51, 0.025271152384480158)]","[(11, 0.2265084990974261), (13, 0.21899799617333213), (43, 0.15063654354979722), (35, 0.08570499222820677), (27, 0.061776523781159595), (42, 0.047776815588479064), (31, 0.04053976677946986), (0, 0.025881915047180185), (28, 0.025644120191006224), (25, 0.025582322387661095), (51, 0.025271152384480158), (17, 0.024534451181784368), (12, 0.023703041144901623)]",11
11347,11516,11516,Trees Planted by the Port Authority of NY NJ in New York City:  Beginning 2008,"['This', 'dataset', 'contains', 'information', 'about', 'trees', 'that', 'have', 'been', 'planted', 'in', 'New', 'York', 'City', 'by', 'the', 'Port', 'Authority', 'of', 'New', 'York', 'and', 'New', 'Jersey', 'from', '2008', 'to', '2012', 'Trees', 'are', 'planted', 'by', 'the', 'Port', 'Authority', 'or', 'contactors', 'on', 'Port', 'Authority', 'Property', 'Tree', 'data', 'includes', 'the', 'tree', 'species', 'size', 'location', 'and', 'quantity']",Port Authority of New York and New Jersey,"['borough', 'tree_size', 'property_type', 'season', 'property_name', 'kind_of_tree', 'quantity']","['Borough', 'Tree Size', 'Property Type', 'Season', 'Property Name', 'Kind of Tree', 'Quantity']",dataset,['environment'],Energy & Environment,"['environment', 'planting', 'port authority', 'tree']",official,735.0,9.0,9.0,2766.0,11.4341069286,data.ny.gov,"['environment', 'planting', 'port', 'authority', 'tree', 'environment', 'energy', '&', 'environment']","['environment', 'planting', 'port', 'authority', 'tree', 'environment', 'energy', '&', 'environment', 'This', 'dataset', 'contains', 'information', 'about', 'trees', 'that', 'have', 'been', 'planted', 'in', 'New', 'York', 'City', 'by', 'the', 'Port', 'Authority', 'of', 'New', 'York', 'and', 'New', 'Jersey', 'from', '2008', 'to', '2012', 'Trees', 'are', 'planted', 'by', 'the', 'Port', 'Authority', 'or', 'contactors', 'on', 'Port', 'Authority', 'Property', 'Tree', 'data', 'includes', 'the', 'tree', 'species', 'size', 'location', 'and', 'quantity']","[(3, 0.11249067458857408), (6, 0.031377660339287405), (11, 0.2228854933613155), (13, 0.030359800468859607), (14, 0.02787609804146917), (15, 0.068466090904602608), (18, 0.084939116668109896), (37, 0.073373371719854863), (40, 0.11393216929309678), (43, 0.17791575936734105), (48, 0.035073993937717804)]","[(11, 0.2228854933613155), (43, 0.17791575936734105), (40, 0.11393216929309678), (3, 0.11249067458857408), (18, 0.0849391166681099), (37, 0.07337337171985486), (15, 0.06846609090460261), (48, 0.035073993937717804), (6, 0.031377660339287405), (13, 0.030359800468859607), (14, 0.02787609804146917)]",11
11359,11528,11528,Mined Land Permits Facility Map: Beginning 1974,"['This', 'coverage', 'contains', 'data', 'from', 'the', 'Division', 'of', 'Mineral', 'Resources', 'Mined', 'Lands', 'permit', 'files']",New York State Dept. of Environmental Conservation,"['initial_permit_date', 'permit_end_date', 'date_of_last_inspection', 'latitude', 'reclamationtype', 'financial_security_amount', 'underground_mine', 'last_modified_date', 'map_flag', 'location_1', 'acres_affected', 'acres_life_of_mine', 'acres_controlled', 'facility_town', 'facility_county', 'facility_location', 'status', 'mine_name', 'permittee_name', 'mine_id_number', 'longitude', 'acres_reclaimed', 'acres_bb', 'acresbb_range', 'commodity', 'permit_issue_date']","['Initial Permit Date', 'Permit End Date', 'Date Of Last Inspection', 'Latitude', 'Reclamation Type', 'Financial Security Amount', 'Underground Mine', 'Last Modified Date', 'Map Flag', 'Location 1', 'Acres Affected', 'Acres Permitted for Life Of Mine', 'Acres Controlled', 'Town', 'County', 'Facility Location', 'Status', 'Mine Name', 'Permittee Name', 'Mine ID Number', 'Longitude', 'Acres Reclaimed', 'Acres BB', 'Acres BB Range', 'Commodity', 'Permit Issue Date']",map,"['environment', 'infrastructure', 'economy']",Energy & Environment,"['stone', 'mined land', 'mines', 'aggregate', 'minerals', 'gravel']",official,171.0,32.0,13.0,2723.0,11.411510988,data.ny.gov,"['stone', 'mined', 'land', 'mines', 'aggregate', 'minerals', 'gravel', 'environment', 'infrastructure', 'economy', 'energy', '&', 'environment']","['stone', 'mined', 'land', 'mines', 'aggregate', 'minerals', 'gravel', 'environment', 'infrastructure', 'economy', 'energy', '&', 'environment', 'This', 'coverage', 'contains', 'data', 'from', 'the', 'Division', 'of', 'Mineral', 'Resources', 'Mined', 'Lands', 'permit', 'files']","[(0, 0.0858272794180409), (11, 0.16143534899085596), (15, 0.051197969360026609), (16, 0.080048604175366522), (24, 0.13464074234564091), (29, 0.13652580284621713), (33, 0.04632867132867128), (37, 0.057519636603582558), (39, 0.055088131958681466), (47, 0.091783216783216687), (49, 0.063765435350538122)]","[(11, 0.16143534899085596), (29, 0.13652580284621713), (24, 0.1346407423456409), (47, 0.09178321678321669), (0, 0.0858272794180409), (16, 0.08004860417536652), (49, 0.06376543535053812), (37, 0.05751963660358256), (39, 0.055088131958681466), (15, 0.05119796936002661), (33, 0.04632867132867128)]",11
11375,11544,11544,New York State Government Building Energy Use Intensity Data: Beginning State Fiscal Year 2010,"['The', 'Build', 'Smart', 'NY', 'Program', 'aims', 'to', 'increase', 'energy', 'efficiency', 'of', 'New', 'York', 'State', 'government', 'buildings', 'Build', 'Smart', 'NY', 'was', 'established', 'by', 'Executive', 'Order', '88', 'and', 'mandates', 'a', 'reduction', 'in', 'energy', 'consumption', 'by', '20%', 'in', 'government', 'owned', 'and', 'operated', 'buildings', 'by', '2020', 'Site', 'utility', 'data', 'has', 'been', 'collected', 'for', 'all', 'government', 'buildings', 'larger', 'than', '20', '000', 'square', 'feet', 'and', 'this', 'has', 'been', 'converted', 'to', 'Source', 'Energy', 'Use', 'Intensity', '(EUI)', 'which', 'is', 'a', 'ratio', 'of', 'Source', 'Energy', 'Use', 'to', 'gross', 'square', 'footage', 'The', 'Source', 'EUI', 'will', 'be', 'used', 'as', 'a', 'performance', 'metric', 'to', 'achieve', 'the', '20%', 'reduction', 'targets', 'The', 'dataset', 'represents', 'a', 'baseline', 'of', 'Source', 'EUI', 'for', 'New', 'York', 'State', 'government', 'buildings', 'at', 'the', 'baseline', 'year', 'of', 'SFI', '2010/2011;', 'subsequent', 'reports', 'will', 'demonstrate', 'a', 'progression', 'to', 'achieving', 'a', '20%', 'energy', 'reduction', 'target']",New York Power Authority,"['agency_name', 'building_facility_name', 'year', 'zip_code', 'source_kbtu', 'gross_floor_area', 'source_eui']","['Agency Name', 'Building/Facility Name', ' Year ', 'ZIP Code', 'Source kBtu', ' Gross Floor Area  ', 'Source EUI']",dataset,"['housing & development', 'infrastructure', 'environment']",Energy & Environment,"['executive order 88', 'buildsmart ny', 'new york state building data', 'energy efficiency']",official,653.0,46.0,15.0,2685.0,11.3912435894,data.ny.gov,"['executive', 'order', '88', 'buildsmart', 'ny', 'new', 'york', 'state', 'building', 'data', 'energy', 'efficiency', 'housing', '&', 'development', 'infrastructure', 'environment', 'energy', '&', 'environment']","['executive', 'order', '88', 'buildsmart', 'ny', 'new', 'york', 'state', 'building', 'data', 'energy', 'efficiency', 'housing', '&', 'development', 'infrastructure', 'environment', 'energy', '&', 'environment', 'The', 'Build', 'Smart', 'NY', 'Program', 'aims', 'to', 'increase', 'energy', 'efficiency', 'of', 'New', 'York', 'State', 'government', 'buildings', 'Build', 'Smart', 'NY', 'was', 'established', 'by', 'Executive', 'Order', '88', 'and', 'mandates', 'a', 'reduction', 'in', 'energy', 'consumption', 'by', '20%', 'in', 'government', 'owned', 'and', 'operated', 'buildings', 'by', '2020', 'Site', 'utility', 'data', 'has', 'been', 'collected', 'for', 'all', 'government', 'buildings', 'larger', 'than', '20', '000', 'square', 'feet', 'and', 'this', 'has', 'been', 'converted', 'to', 'Source', 'Energy', 'Use', 'Intensity', '(EUI)', 'which', 'is', 'a', 'ratio', 'of', 'Source', 'Energy', 'Use', 'to', 'gross', 'square', 'footage', 'The', 'Source', 'EUI', 'will', 'be', 'used', 'as', 'a', 'performance', 'metric', 'to', 'achieve', 'the', '20%', 'reduction', 'targets', 'The', 'dataset', 'represents', 'a', 'baseline', 'of', 'Source', 'EUI', 'for', 'New', 'York', 'State', 'government', 'buildings', 'at', 'the', 'baseline', 'year', 'of', 'SFI', '2010/2011;', 'subsequent', 'reports', 'will', 'demonstrate', 'a', 'progression', 'to', 'achieving', 'a', '20%', 'energy', 'reduction', 'target']","[(0, 0.020439031135027885), (6, 0.014549291026043938), (9, 0.040970597754922899), (10, 0.018876835446447113), (11, 0.18789237606281906), (13, 0.034788922269773308), (15, 0.029272660624069413), (21, 0.025239606331686731), (24, 0.010400313971742547), (30, 0.01145862714293025), (33, 0.087657837270527783), (35, 0.031394294072881114), (40, 0.023486069250066036), (42, 0.13044522375336781), (43, 0.12363065005550011), (45, 0.054194790211669099), (46, 0.010886863876822667), (48, 0.024192371825643755), (49, 0.046906215007152793), (50, 0.067037988060042741)]","[(11, 0.18789237606281906), (42, 0.1304452237533678), (43, 0.12363065005550011), (33, 0.08765783727052778), (50, 0.06703798806004274), (45, 0.0541947902116691), (49, 0.04690621500715279), (9, 0.0409705977549229), (13, 0.03478892226977331), (35, 0.031394294072881114), (15, 0.029272660624069413), (21, 0.02523960633168673), (48, 0.024192371825643755), (40, 0.023486069250066036), (0, 0.020439031135027885), (10, 0.018876835446447113), (6, 0.014549291026043938), (30, 0.01145862714293025), (46, 0.010886863876822667), (24, 0.010400313971742547)]",11
11392,11561,11561,Mined Land Permits: Beginning 1974,"['This', 'coverage', 'contains', 'data', 'from', 'the', 'Division', 'of', 'Mineral', 'Resources', 'Mined', 'Lands', 'permit', 'files']",New York State Dept. of Environmental Conservation,"['location_1', 'map_flag', 'acres_life_of_mine', 'acres_controlled', 'facility_town', 'facility_county', 'financial_security_amount', 'permit_issue_date', 'last_modified_date', 'underground_mine', 'facility_location', 'initial_permit_date', 'commodity', 'acresbb_range', 'acres_bb', 'mine_id_number', 'permittee_name', 'latitude', 'date_of_last_inspection', 'permit_end_date', 'reclamationtype', 'acres_reclaimed', 'acres_affected', 'longitude', 'mine_name', 'status']","['Location 1', 'Map Flag', 'Acres Permitted for Life Of Mine', 'Acres Controlled', 'Town', 'County', 'Financial Security Amount', 'Permit Issue Date', 'Last Modified Date', 'Underground Mine', 'Facility Location', 'Initial Permit Date', 'Commodity', 'Acres BB Range', 'Acres BB', 'Mine ID Number', 'Permittee Name', 'Latitude', 'Date Of Last Inspection', 'Permit End Date', 'Reclamation Type', 'Acres Reclaimed', 'Acres Affected', 'Longitude', 'Mine Name', 'Status']",dataset,"['environment', 'economy', 'infrastructure']",Energy & Environment,"['stone', 'minerals', 'mined land', 'aggregate', 'gravel', 'mines']",official,954.0,8.0,3.0,2620.0,11.3559016383,data.ny.gov,"['stone', 'minerals', 'mined', 'land', 'aggregate', 'gravel', 'mines', 'environment', 'economy', 'infrastructure', 'energy', '&', 'environment']","['stone', 'minerals', 'mined', 'land', 'aggregate', 'gravel', 'mines', 'environment', 'economy', 'infrastructure', 'energy', '&', 'environment', 'This', 'coverage', 'contains', 'data', 'from', 'the', 'Division', 'of', 'Mineral', 'Resources', 'Mined', 'Lands', 'permit', 'files']","[(0, 0.08561910183708453), (11, 0.16142348256963976), (15, 0.051200211768966213), (16, 0.079978289465271357), (24, 0.1348043237732984), (29, 0.13652515963064871), (33, 0.04632867132867128), (37, 0.057557305517380399), (39, 0.055159638594023001), (47, 0.091783216783216687), (49, 0.063781437892637904)]","[(11, 0.16142348256963976), (29, 0.1365251596306487), (24, 0.1348043237732984), (47, 0.09178321678321669), (0, 0.08561910183708453), (16, 0.07997828946527136), (49, 0.0637814378926379), (37, 0.0575573055173804), (39, 0.055159638594023), (15, 0.05120021176896621), (33, 0.04632867132867128)]",11
11405,11574,11574,"Electric Generation By Conventional Hydro, GWh Line Graph: Beginning 1960","['New', 'York', 'Electric', 'Generation', 'By', 'Fuel', 'Type', 'GWh', 'dataset', 'provides', 'data', 'on', 'total', 'in', 'state', 'generation', 'for', 'New', 'York', 'State', 'Sources', 'of', 'electricity', 'include', 'coal', 'natural', 'gas', 'petroleum', 'products', 'hydro', 'nuclear', 'waste', 'landfill', 'gas', 'wood', 'wind', 'and', 'net', 'imports', 'of', 'electricity']",New York State Energy Research and Development Authority,"['wood', 'net_imports', 'other', 'waste', 'lfg', 'petroleum', 'conv_hydro', 'ps_hydro', 'nuclear', 'year', 'coal', 'natural_gas', 'total', 'wind']","['Wood  ', 'Net Imports  ', 'Other  ', 'Waste  ', 'LFG  ', 'Petroleum  ', 'Conv. Hydro  ', 'PS Hydro  ', 'Nuclear  ', 'Year', 'Coal  ', 'Natural Gas  ', 'Total  ', 'Wind  ']",chart,"['environment', 'infrastructure']",Energy & Environment,"['electric generation', 'electricity', 'electricity sales', 'renewable']",official,63.0,15.0,5.0,2576.0,11.3314768219,data.ny.gov,"['electric', 'generation', 'electricity', 'electricity', 'sales', 'renewable', 'environment', 'infrastructure', 'energy', '&', 'environment']","['electric', 'generation', 'electricity', 'electricity', 'sales', 'renewable', 'environment', 'infrastructure', 'energy', '&', 'environment', 'New', 'York', 'Electric', 'Generation', 'By', 'Fuel', 'Type', 'GWh', 'dataset', 'provides', 'data', 'on', 'total', 'in', 'state', 'generation', 'for', 'New', 'York', 'State', 'Sources', 'of', 'electricity', 'include', 'coal', 'natural', 'gas', 'petroleum', 'products', 'hydro', 'nuclear', 'waste', 'landfill', 'gas', 'wood', 'wind', 'and', 'net', 'imports', 'of', 'electricity']","[(0, 0.025881723967104114), (11, 0.22651685513477723), (12, 0.023703041144901623), (13, 0.21900549596828034), (17, 0.024534389286395192), (25, 0.025582330324998157), (27, 0.061782278345067144), (28, 0.025643883559092098), (31, 0.040578129221690559), (35, 0.085656721939942143), (42, 0.047762707532819144), (43, 0.15063906688531115), (51, 0.025271516224505439)]","[(11, 0.22651685513477723), (13, 0.21900549596828034), (43, 0.15063906688531115), (35, 0.08565672193994214), (27, 0.061782278345067144), (42, 0.047762707532819144), (31, 0.04057812922169056), (0, 0.025881723967104114), (28, 0.0256438835590921), (25, 0.025582330324998157), (51, 0.02527151622450544), (17, 0.024534389286395192), (12, 0.023703041144901623)]",11
11414,11583,11583,"Electric Generation By Wind, GWh Line Graph: Beginning 1980","['New', 'York', 'Electric', 'Generation', 'By', 'Fuel', 'Type', 'GWh', 'dataset', 'provides', 'data', 'on', 'total', 'in', 'state', 'generation', 'for', 'New', 'York', 'State', 'Sources', 'of', 'electricity', 'include', 'coal', 'natural', 'gas', 'petroleum', 'products', 'hydro', 'nuclear', 'waste', 'landfill', 'gas', 'wood', 'wind', 'and', 'net', 'imports', 'of', 'electricity']",New York State Energy Research and Development Authority,"['waste', 'wood', 'lfg', 'wind', 'net_imports', 'nuclear', 'year', 'petroleum', 'conv_hydro', 'ps_hydro', 'natural_gas', 'coal', 'total', 'other']","['Waste  ', 'Wood  ', 'LFG  ', 'Wind  ', 'Net Imports  ', 'Nuclear  ', 'Year', 'Petroleum  ', 'Conv. Hydro  ', 'PS Hydro  ', 'Natural Gas  ', 'Coal  ', 'Total  ', 'Other  ']",chart,"['environment', 'infrastructure']",Energy & Environment,"['electric generation', 'electricity', 'electricity sales', 'renewable']",official,51.0,15.0,4.0,2549.0,11.3162815317,data.ny.gov,"['electric', 'generation', 'electricity', 'electricity', 'sales', 'renewable', 'environment', 'infrastructure', 'energy', '&', 'environment']","['electric', 'generation', 'electricity', 'electricity', 'sales', 'renewable', 'environment', 'infrastructure', 'energy', '&', 'environment', 'New', 'York', 'Electric', 'Generation', 'By', 'Fuel', 'Type', 'GWh', 'dataset', 'provides', 'data', 'on', 'total', 'in', 'state', 'generation', 'for', 'New', 'York', 'State', 'Sources', 'of', 'electricity', 'include', 'coal', 'natural', 'gas', 'petroleum', 'products', 'hydro', 'nuclear', 'waste', 'landfill', 'gas', 'wood', 'wind', 'and', 'net', 'imports', 'of', 'electricity']","[(0, 0.025881247298312947), (11, 0.22652675546786008), (12, 0.02370304114490162), (13, 0.21903130225459155), (17, 0.024534280463696104), (25, 0.025581957979902765), (27, 0.061787157646807069), (28, 0.025643607058620198), (31, 0.040654484143807325), (35, 0.085562727871980479), (42, 0.047733410254701958), (43, 0.15064626985296689), (51, 0.02527189809673528)]","[(11, 0.22652675546786008), (13, 0.21903130225459155), (43, 0.1506462698529669), (35, 0.08556272787198048), (27, 0.06178715764680707), (42, 0.04773341025470196), (31, 0.040654484143807325), (0, 0.025881247298312947), (28, 0.025643607058620198), (25, 0.025581957979902765), (51, 0.02527189809673528), (17, 0.024534280463696104), (12, 0.02370304114490162)]",11
